state_id,nation_id,name,abbreviation,population,main_language_id
1247,76,"Hania","HAN",104139,0
1248,76,"Évvoia","ÉVV",148276,0
1249,76,"Piería","PIE",110491,0
1250,76,"Évros","ÉVR",104066,0
1251,76,"Messinía","MES",98448,0
1252,76,"Tríkala","TRí",81069,0
1253,76,"Xanthi","XAN",72489,0
1254,76,"Fthiztis","FTH",110345,0
1255,76,"Rodzpi","ROD",64632,0
1256,76,"Imathía","IMA",114854,0
1257,76,"Drama","DRA",81163,0
1258,76,"Aitolía kai Akarnanía","AIT",141444,0
1259,76,"Kozani","KOZ",115331,0
1260,76,"Kardítsa","KAR",70808,0
1261,76,"Korinthía","KOR",115662,0
1262,76,"Rethímni","RET",41612,0
1263,76,"Lésvos","LéS",62641,0
1264,76,"Pélla","PéL",111372,0
1265,76,"Kérkira","KéR",51657,0
1266,76,"Arkadía","ARK",40561,0
1267,76,"Argolis","ARG",73927,0
1268,76,"Híos","HíO",33252,0
1269,76,"Ilía","ILí",107098,0
1270,76,"Voiotia","VOI",102871,0
1271,76,"Kilkís","KIL",51703,0
1272,76,"Arta","ART",35337,0
1273,76,"Préveza","PRé",31490,0
1274,76,"Lakonía","LAK",43803,0
1275,76,"Flórina","FLó",14910,0
1276,76,"Kastoría","KAS",31197,0
1277,76,"Lasíthi","LAS",43113,0
1278,76,"Zakinthos","ZAK",19543,0
1279,76,"Kiklades","KIK",62367,0
1280,76,"Grevena","GRE",14419,0
1281,76,"Kefallinía","KEF",18835,0
1282,76,"Thesprotía","THE",21079,0
1283,76,"Halkidikí","HAL",78809,0
1284,76,"Levkas","LEV",7075,0
1285,76,"Evritanía","EVR",6888,0
1286,76,"Fokís","FOK",22178,0
1287,76,"Samos","SAM",24460,0
1288,76,"Flzrina","FLZ",14043,0
1289,77,"St. Davids","SAI",1321,0
1290,77,"St. Mark","SAI",1320,0
1291,78,"Grande-Terre","GRA",205329,0
1292,78,"Basse-Terre","BAS",178160,0
1293,243,"Saint-Barthélemy","SAI",5988,0
1294,78,"Marie-Galante","MAR",5867,0
1295,78,"La Désirade","LA ",1716,0
1296,78,"Îles-des-Saintes","ÎLE",1314,0
1311,79,"Guam","GUA",89572,0
1313,80,"Guatemala","GUA",2624132,0
1314,80,"Quezaltenango","QUE",624716,0
1315,80,"Escuintla","ESC",538746,0
1316,80,"Chimaltenango","CHI",446133,0
1317,80,"Quiché","QUI",655510,0
1318,80,"Huehuetenango","HUE",846544,0
1319,80,"Totonicapán","TOT",339254,0
1320,80,"Izabal","IZA",314306,0
