player_id,opponent_id,ab,h,hr
9,713,1,0,0
9,36910,2,0,0
9,32810,1,1,0
9,30324,2,0,0
9,291,1,0,0
12,18522,2,1,0
12,32861,1,1,1
12,33367,3,1,0
12,18980,1,0,0
12,31261,2,0,0
12,341,1,0,0
12,34444,1,0,0
12,28156,1,0,0
12,31780,1,0,0
12,30333,3,1,0
12,33785,1,0,0
12,31742,1,0,0
12,22682,1,0,0
12,37227,1,0,0
12,30185,1,0,0
12,31786,1,0,0
15,30563,3,0,0
15,426,2,0,0
15,30533,7,2,0
15,29830,1,0,0
15,30305,7,1,0
15,32233,4,1,0
15,19,7,2,1
15,28869,1,0,0
15,30323,3,2,0
15,29661,1,0,0
15,32013,1,1,0
15,29416,2,0,0
15,26192,2,0,0
15,18701,1,0,0
15,37673,1,0,0
15,34197,3,1,0
15,32512,1,0,0
15,31371,3,1,0
15,31335,1,0,0
15,32294,2,1,0
15,30333,2,0,0
15,35483,1,1,0
15,20,1,0,0
15,31724,2,1,0
15,21158,1,0,0
15,32894,1,1,0
15,19106,3,1,0
15,30338,2,0,0
15,34228,1,0,0
15,29641,1,0,0
15,34883,1,1,0
15,470,2,0,0
15,19097,2,0,0
15,34302,3,0,0
15,38160,1,0,0
15,22682,1,1,0
15,33340,1,0,0
15,32476,3,0,0
15,20705,1,0,0
15,31913,4,1,0
15,31007,4,3,0
15,31829,1,0,0
15,36246,3,0,0
15,33870,1,1,0
15,20402,1,0,0
15,33930,3,1,0
16,19111,4,1,0
16,25977,4,1,0
16,23444,1,0,0
16,30257,1,1,0
16,30007,6,0,0
16,22473,1,0,0
16,32560,3,1,0
16,26014,1,0,0
16,31866,2,0,0
16,34883,2,0,0
16,19044,2,1,1
16,35329,1,0,0
16,34302,3,1,1
16,32924,1,0,0
16,18573,1,1,1
16,39701,1,0,0
16,18118,1,1,0
16,33104,1,0,0
16,29875,1,0,0
16,25059,4,1,0
16,32903,2,0,0
16,34012,1,0,0
16,18,3,1,0
16,31276,1,1,0
16,26787,2,2,1
16,26600,2,1,0
16,18812,1,0,0
16,32804,3,0,0
16,31124,1,1,0
16,33768,1,0,0
16,28374,4,0,0
16,19,3,1,1
16,31304,1,1,1
16,26192,4,1,0
16,29416,1,0,0
16,23697,6,3,2
16,32818,3,0,0
16,18553,2,0,0
16,30236,3,0,0
16,1179,2,0,0
16,18701,1,1,1
16,30924,2,2,1
16,32233,3,1,1
16,19092,1,0,0
16,25438,3,0,0
16,31780,1,0,0
18,23697,1,0,0
18,25524,1,0,0
18,25376,2,0,0
18,33682,3,1,0
18,35087,3,1,0
18,37847,1,0,0
19,24169,2,0,0
19,23917,1,0,0
19,44,1,0,0
19,19111,5,1,0
19,30533,2,0,0
19,34119,1,0,0
19,27923,2,1,0
19,21156,1,0,0
19,34883,1,0,0
19,20705,1,0,0
19,19097,1,0,0
20,39701,1,0,0
31,19111,2,0,0
31,35302,1,0,0
31,25977,4,0,0
31,32924,2,0,0
31,30007,6,1,0
31,23444,1,0,0
31,32560,2,0,0
31,26014,1,0,0
31,34883,3,0,0
31,19044,2,1,0
31,34302,3,0,0
31,31866,1,0,0
31,18573,2,0,0
31,39701,2,0,0
31,18118,1,0,0
31,25059,4,2,0
31,32903,3,1,0
31,34012,1,0,0
31,18,3,0,0
31,26787,2,1,0
31,26600,2,0,0
31,23917,1,0,0
31,18812,1,1,0
31,32804,3,0,0
31,31124,1,0,0
31,33768,1,0,0
31,28374,3,1,0
31,29694,1,1,1
31,19,2,0,0
31,31304,1,0,0
31,18701,1,1,0
31,26192,3,1,0
31,29416,1,0,0
31,19092,1,0,0
31,23697,4,1,0
31,37648,1,1,0
31,32818,3,0,0
31,18553,1,0,0
39,33059,1,0,0
39,24524,1,0,0
39,27707,1,1,0
39,33930,2,0,0
39,26787,1,0,0
39,23200,2,0,0
47,32823,1,0,0
47,34003,1,1,0
47,424,1,0,0
47,30740,3,2,0
47,1131,3,1,0
47,35507,1,1,0
47,32502,1,0,0
47,32507,2,1,0
47,31086,2,0,0
47,31241,1,1,1
47,299,1,0,0
47,24139,1,0,0
47,25092,1,0,0
47,24511,1,0,0
47,24266,1,0,0
47,34301,2,0,0
47,23585,3,1,0
47,19237,2,2,0
47,35452,1,0,0
47,22319,1,1,0
47,30307,3,1,0
47,29687,1,1,1
47,29876,3,1,0
47,33877,1,0,0
47,25219,2,0,0
47,32172,1,0,0
47,33785,1,0,0
47,24705,1,0,0
47,34245,2,0,0
47,26155,3,1,0
47,6,2,0,0
47,202,1,0,0
47,18523,3,0,0
47,19161,3,0,0
47,32113,3,1,0
47,27707,2,0,0
47,30337,2,1,0
47,275,1,1,0
47,28616,1,0,0
47,1119,1,1,1
47,29112,1,0,0
54,28156,1,0,0
54,32172,1,0,0
54,32895,1,0,0
54,33426,1,0,0
54,23831,1,0,0
54,28820,1,0,0
54,30793,1,1,0
62,36865,4,2,0
62,32230,1,0,0
62,34232,3,0,0
62,30127,1,0,0
62,35376,3,1,0
62,28966,1,1,0
62,32899,1,0,0
62,30437,1,1,1
62,30011,3,0,0
62,32350,1,0,0
62,32273,2,1,0
62,32895,3,0,0
62,27707,3,1,0
62,275,2,1,1
62,30337,4,2,0
62,24845,0,0,0
62,19161,1,0,0
62,32113,1,0,0
62,28616,1,0,0
62,31491,3,0,0
62,29752,7,2,0
62,25142,2,0,0
62,38373,2,1,0
62,23368,1,0,0
62,28630,3,2,0
62,32307,2,0,0
62,32376,3,1,0
62,31875,2,1,0
62,40718,1,0,0
62,36252,1,1,0
62,31541,2,1,0
62,35596,2,0,0
62,31627,3,2,0
62,28269,1,1,0
62,28581,1,0,0
62,30317,2,2,0
62,31261,5,2,1
62,341,1,0,0
62,35419,1,1,0
62,26307,6,1,1
62,35005,2,2,0
62,28624,2,0,0
62,19003,1,0,0
62,25053,1,0,0
62,418,3,0,0
62,1131,4,1,0
62,24015,2,0,0
62,32823,1,1,1
62,29495,1,1,0
62,424,2,1,0
62,30133,2,1,0
62,30740,2,0,0
62,35507,1,0,0
62,18522,1,1,0
62,18980,1,1,0
62,32861,2,2,0
78,36246,3,0,0
78,34119,3,1,0
78,31829,1,0,0
78,9,2,2,0
78,36902,1,0,0
78,31913,4,1,0
78,30323,4,0,0
78,33682,4,1,0
78,28869,1,0,0
78,30563,4,0,0
78,32810,3,2,0
78,31758,3,2,1
78,18812,1,0,0
78,31276,2,1,0
78,26600,1,1,0
78,18,3,2,0
78,32804,3,1,0
78,32332,2,0,0
78,31918,1,1,0
78,23747,1,0,0
78,37847,3,0,0
78,23697,3,1,0
78,25524,1,0,0
78,37648,1,1,0
78,30924,4,1,0
78,32233,4,2,0
78,18701,1,1,0
78,33967,1,0,0
78,18580,3,1,0
78,29214,2,0,0
78,32480,4,1,0
78,32227,2,2,1
78,31084,1,0,0
78,30007,4,0,0
78,23444,1,0,0
78,31916,1,0,0
78,19111,3,1,0
78,21046,3,0,0
78,19237,3,2,0
78,33341,1,0,0
78,19,2,0,0
78,291,1,1,0
78,26192,3,1,0
78,23738,1,0,0
78,31304,1,0,0
79,35139,2,1,0
79,25573,1,0,0
79,35591,1,0,0
137,24169,2,1,0
