team_id,affiliated_team_id
31,186
31,203
31,221
31,257
31,294
31,336
31,405
31,608
31,753
32,166
32,205
32,757
32,275
32,301
32,322
32,619
33,165
33,195
33,227
33,261
33,277
33,332
33,598
34,159
34,191
34,225
34,271
34,287
34,330
34,584
34,793
35,163
35,204
35,234
35,274
35,334
35,651
35,593
36,171
36,202
36,232
36,251
36,295
36,312
36,809
36,611
36,742
37,169
37,208
37,236
37,248
37,333
37,304
37,329
37,594
38,157
38,193
38,245
38,264
38,284
38,327
38,796
38,609
39,184
39,188
39,233
39,269
39,291
39,337
39,601
39,792
40,170
40,196
40,244
40,252
40,288
40,325
40,745
40,616
40,794
41,175
41,199
41,237
41,260
41,282
41,319
41,606
42,178
42,216
42,758
42,259
42,289
42,403
42,588
43,174
43,212
43,230
43,266
43,300
43,338
43,736
43,586
43,812
44,181
44,206
44,223
44,254
44,340
44,313
44,596
45,177
45,211
45,226
45,247
45,339
45,317
45,816
45,604
45,751
46,179
46,201
46,231
46,267
46,335
46,309
46,814
46,620
47,160
47,200
47,243
47,255
47,306
47,331
47,591
48,161
48,192
48,246
48,272
48,280
48,302
48,326
48,408
48,599
49,167
49,187
49,239
49,276
49,278
49,308
49,406
49,587
49,602
50,162
50,214
50,220
50,253
50,290
50,315
50,815
50,603
51,158
51,198
51,241
51,265
51,286
51,323
51,798
51,595
51,754
52,168
52,194
52,228
52,268
52,283
52,305
52,328
52,592
52,813
53,180
53,215
53,224
53,249
53,293
53,361
53,785
53,600
54,182
54,209
54,218
54,263
54,296
54,314
54,589
55,185
55,190
55,219
55,270
55,297
55,316
55,797
55,590
56,172
56,210
56,238
56,258
56,285
56,307
56,320
56,607
56,795
57,164
57,207
57,240
57,273
57,279
57,303
57,404
57,597
57,755
58,173
58,213
58,756
58,256
58,292
58,310
58,585
58,613
59,176
59,189
59,242
59,250
59,298
59,299
59,324
59,617
60,183
60,197
60,229
60,262
60,281
60,318
60,605
