year,team_id,game_id,league_id,level_id,split_id,pa,ab,h,k,tb,s,d,t,hr,sb,cs,rbi,r,bb,ibb,hp,sh,sf,ci,gdp,g,gs,ebh,pitches_seen,avg,obp,slg,rc,rc27,iso,woba,ops,sbp,ws,kp,bbp,wpa,babip
0,0,0,0,0,0,18408,17904,4362,1292,5496,3487,645,201,29,0,0,0,2306,504,0,0,0,0,0,0,672,0,875,0,0.2436,0.2643,0.3070,1487.4607,2.9657,0.0633,0.2615,0.5713,0.0000,0.0000,7.0187,2.7379,0.0000,0.2613
0,0,0,0,0,0,17269,16686,4267,1019,5457,3386,616,221,44,0,0,0,2252,583,0,0,0,0,0,0,576,0,881,0,0.2557,0.2809,0.3270,1575.1701,3.4246,0.0713,0.2806,0.6079,0.0000,0.0000,5.9007,3.3760,0.0000,0.2703
0,0,0,0,0,0,18495,17860,4518,1250,0,0,731,208,49,0,0,0,2462,635,0,0,0,0,0,0,672,0,988,0,0.2530,0.2786,0.3254,1665.3147,3.3701,0.0725,0.0000,0.6040,0.0000,0.0000,0.0000,0.0000,0.0000,0.2699
0,0,0,0,0,0,20892,20098,4715,1670,6188,3665,711,255,84,0,0,0,2709,794,0,0,0,0,0,0,784,0,1050,0,0.2346,0.2637,0.3079,1686.1464,2.9595,0.0733,0.2617,0.5716,0.0000,0.0000,7.9935,3.8005,0.0000,0.2525
0,0,0,0,0,0,24536,23723,6115,1709,8121,4685,950,384,96,0,0,0,3646,813,0,0,0,0,0,0,896,0,1430,0,0.2578,0.2824,0.3423,2352.7359,3.6077,0.0846,0.2841,0.6247,0.0000,0.0000,6.9653,3.3135,0.0000,0.2746
0,0,0,0,0,0,29768,28566,7145,2565,9339,5559,1066,432,88,0,0,0,4278,1202,0,0,0,0,0,0,896,0,1586,0,0.2501,0.2804,0.3269,2706.3033,3.4111,0.0768,0.2764,0.6073,0.0000,0.0000,8.6166,4.0379,0.0000,0.2723
0,0,0,0,0,0,30224,29107,7681,2731,10580,5596,1421,514,150,0,0,0,4752,1117,0,0,0,0,0,0,896,0,2085,0,0.2639,0.2911,0.3635,3164.3050,3.9875,0.0996,0.2950,0.6546,0.0000,0.0000,9.0359,3.6957,0.0000,0.2872
0,0,0,0,0,0,31161,29795,7188,3684,9745,5450,1080,497,161,0,0,0,4452,1366,0,0,0,0,0,0,896,0,1738,0,0.2412,0.2745,0.3271,2772.5929,3.3114,0.0858,0.2748,0.6016,0.0000,0.0000,11.8225,4.3837,0.0000,0.2708
0,0,0,0,0,0,33833,32128,7872,3834,10764,6012,1118,452,290,0,0,0,5061,1705,0,0,0,0,0,0,896,0,1860,0,0.2450,0.2831,0.3350,3172.4149,3.5313,0.0900,0.2828,0.6181,0.0000,0.0000,11.3321,5.0395,0.0000,0.2707
0,0,0,0,0,0,32799,31034,7539,3358,10055,5817,1086,478,158,0,0,0,4523,1765,0,0,0,0,0,0,896,0,1722,0,0.2429,0.2837,0.3240,2982.4484,3.4274,0.0811,0.2835,0.6077,0.0000,0.0000,10.2381,5.3813,0.0000,0.2682
