game_id,league_id,home_team,away_team,attendance,date,time,game_type,played,dh,innings,runs0,runs1,hits0,hits1,errors0,errors1,winning_pitcher,losing_pitcher,save_pitcher,starter0,starter1
27,153,189,187,2212,"2019-4-7",1335,0,1,0,9,4,2,10,8,0,0,21413,24516,21584,21413,24516
28,153,196,192,2240,"2019-7-25",1305,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,153,193,194,2190,"2019-4-7",1405,0,1,0,10,4,2,7,8,3,1,33656,38061,34305,22284,669
30,153,191,187,2262,"2019-4-8",1800,0,1,0,9,11,6,15,11,0,0,1539,21225,0,1539,21225
31,153,196,194,2225,"2019-4-8",1805,0,1,0,9,6,0,12,6,0,0,38248,34454,0,1836,34454
32,153,197,188,2246,"2019-4-8",1830,0,1,0,9,7,2,11,6,1,1,27272,34488,0,27272,34488
33,153,189,198,2240,"2019-4-8",1835,0,1,0,11,8,4,15,13,1,1,36056,2007,0,39514,21711
34,153,190,195,2193,"2019-4-9",1305,0,1,0,9,1,6,5,11,1,1,1890,34291,33391,34291,1890
35,153,193,192,2256,"2019-4-8",1835,0,1,0,13,3,4,11,9,0,0,1113,451,0,33971,24592
36,153,191,187,2239,"2019-4-9",1800,0,1,0,9,2,8,3,8,0,0,33062,34404,0,35200,34413
37,153,196,194,2261,"2019-4-9",1805,0,1,0,9,7,1,10,9,1,0,35198,36536,0,1313,36536
38,153,197,188,2217,"2019-4-9",1830,0,1,0,9,0,3,5,9,0,0,1203,20157,39701,1126,21218
39,153,189,198,2246,"2019-4-9",1835,0,1,0,9,1,0,4,3,2,0,60,35451,37441,21529,35451
40,153,190,195,2221,"2019-4-9",1905,0,1,0,10,5,6,14,10,0,2,33516,22589,0,27607,39796
41,153,193,192,2217,"2019-4-9",1835,0,1,0,9,3,1,5,6,0,0,38208,2098,21777,38208,1138
42,153,190,195,2247,"2019-4-10",1035,0,1,0,9,3,5,10,11,0,0,21799,31458,33516,31458,38856
43,153,197,188,2220,"2019-4-10",1200,0,1,0,9,3,11,10,16,0,0,39832,33529,0,33529,39832
44,153,196,194,2233,"2019-4-10",1205,0,1,0,9,6,1,11,3,0,0,920,1069,0,920,1069
45,153,191,187,2257,"2019-4-10",1800,0,1,0,9,4,8,8,13,0,0,36734,27046,0,27046,36734
46,153,189,198,2221,"2019-4-10",1835,0,1,0,9,3,4,10,10,1,0,39677,26053,0,33732,34732
47,153,193,192,2252,"2019-4-10",1835,0,1,0,9,5,10,14,13,1,1,33597,21020,0,21020,20528
48,153,194,193,2206,"2019-4-11",1800,0,1,0,9,6,5,12,10,2,1,1423,1014,27997,1423,1014
49,153,195,197,2306,"2019-4-11",1835,0,1,0,9,3,7,6,9,2,0,40312,35477,0,35477,40312
50,153,187,196,2219,"2019-4-11",1835,0,1,0,9,6,3,10,5,0,2,34994,39724,36546,27010,21432
51,153,188,189,2184,"2019-4-11",1905,0,1,0,9,4,1,10,3,0,0,21242,1296,2007,21242,1296
52,153,194,193,2191,"2019-4-12",1800,0,1,0,9,2,7,5,15,1,2,22284,669,0,669,22284
53,153,192,191,2264,"2019-4-12",1900,0,1,0,9,8,6,12,7,1,0,784,451,25773,408,37437
54,153,195,197,2302,"2019-4-12",1905,0,1,0,9,7,1,7,6,0,1,31646,39040,0,31646,39040
55,153,187,196,2212,"2019-4-12",1905,0,1,0,9,4,7,7,12,0,0,21413,21467,21584,21467,21413
56,153,188,189,2235,"2019-4-12",1905,0,1,0,10,4,3,11,5,0,2,1773,34687,39677,24516,33230
57,153,198,190,2255,"2019-4-12",1910,0,1,0,9,6,11,11,14,0,0,26053,21506,0,34213,21585
58,153,192,191,2254,"2019-4-13",1300,0,1,0,9,5,7,8,15,0,0,20752,33062,21777,36348,24710
59,153,195,197,2220,"2019-4-13",1335,0,1,0,9,3,5,6,8,1,1,22589,695,0,34488,27607
60,153,187,196,2220,"2019-4-13",1405,0,1,0,9,1,6,8,10,0,1,1539,1265,39285,1265,1539
61,153,194,193,2248,"2019-4-13",1600,0,1,0,10,3,4,8,10,0,0,20201,27997,0,24592,1836
62,153,198,190,2267,"2019-4-13",1715,0,1,0,9,11,3,14,7,1,0,1633,31510,0,1633,38229
63,153,188,189,2231,"2019-4-13",1805,0,1,0,9,3,4,7,10,0,2,27272,21711,39733,21711,27272
64,153,192,191,2239,"2019-4-14",1300,0,1,0,9,3,4,6,5,0,0,20752,39238,21777,21225,33971
65,153,188,189,2233,"2019-4-14",1305,0,1,0,9,1,4,7,10,1,0,1126,35451,36482,35451,1126
66,153,195,197,2213,"2019-4-14",1335,0,1,0,9,5,2,10,5,0,0,819,22589,608,21218,34291
