team_id,player_id,list_id
31,31141,1
31,18307,2
31,31141,3
31,31050,4
31,31528,1
31,30428,2
31,31528,3
31,34854,4
31,32388,1
31,39,2
31,32388,3
31,29199,4
31,35373,1
31,31203,2
31,35373,3
31,23842,4
31,18583,1
31,35087,2
31,18583,3
31,33175,4
31,29161,1
31,23831,2
31,29161,3
31,31786,1
31,37227,2
31,31786,3
31,30428,1
31,31786,2
31,30428,3
31,31050,1
31,32388,2
31,35087,3
31,35087,1
31,36871,2
31,39,3
31,39,1
31,34153,2
31,25583,3
31,25583,1
31,28820,2
31,32846,3
31,32846,1
31,22862,2
31,22862,3
31,34854,1
31,35373,2
31,28629,3
31,29199,1
31,33649,2
31,18307,3
31,22862,1
31,31528,2
31,28820,3
31,28629,1
31,28629,2
31,37227,3
31,18307,1
31,32846,2
31,23831,3
31,28820,1
31,29161,2
31,36871,3
31,18583,2
31,33175,3
31,37227,1
31,31141,2
31,23842,3
31,23831,1
31,33353,2
31,31203,3
31,36871,1
31,37244,2
31,33353,3
31,35534,2
31,33649,3
31,33175,1
31,25583,2
31,37244,3
31,23842,1
31,34153,3
31,31203,1
31,35534,3
31,33353,1
31,28232,3
31,33649,1
31,29886,3
31,32153,3
31,37244,1
31,33074,3
31,34153,1
31,35534,1
32,18741,1
32,23917,2
32,18741,3
32,24169,4
32,23918,1
32,44,2
32,23918,3
32,18,4
32,25496,1
32,28374,2
32,25496,3
32,19072,4
32,25704,1
32,32810,2
32,25704,3
32,27952,1
32,32804,2
32,27952,3
32,23918,4
32,24981,1
32,30922,2
32,24981,3
32,18379,1
32,26787,2
32,18379,3
32,28374,1
32,21555,2
32,28374,3
32,23917,1
32,31276,2
32,23917,3
32,29694,1
32,29694,2
32,29694,3
32,21549,1
32,31758,2
32,21549,3
32,35226,1
32,18812,2
32,35226,3
32,31639,1
32,25704,2
32,31639,3
32,18,1
32,24981,2
32,18,3
32,18812,1
32,229,2
32,18812,3
32,44,1
32,35226,2
32,44,3
32,27952,2
32,34304,3
32,34304,1
32,18379,2
32,26787,3
32,26787,1
32,18741,2
32,32804,3
32,32804,1
32,21549,2
32,21555,3
32,21555,1
32,31639,2
