team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
44,2019,150,1,1,597,155,650,249,151,153,98,41,77,73,145,145,2454,0,28,28,16,6,0,103,21,0,3,4,23,0,1,0,5,8,0,9,14,0,0,0,0,0,12,8,0,11.6129,0.2529,0.3082,0.4171,0.7253,8.7677,8.8839,1.3355,2.3806,0.0000,0.0000,0.5000,0.7273,3.5000,0.0000,0.0000,0.0000,4.2387,87.6429,0.0000,1.2387,0.5000,3.7317,0.3019
45,2019,150,1,1,528,133,598,239,153,125,82,48,85,78,152,105,2302,2,28,28,6,11,0,107,24,9,6,4,18,0,0,0,10,7,0,10,5,0,0,0,0,0,6,4,0,14.0050,0.2898,0.3531,0.4527,0.8058,10.3017,8.4165,1.2120,3.2319,0.0000,0.0000,0.1786,0.3529,2.9286,0.0000,0.0000,0.0000,5.2519,82.2143,0.0000,1.5037,0.5914,2.6042,0.3453
46,2019,150,1,1,546,137,627,251,157,111,80,62,83,77,127,155,2403,2,27,27,8,11,0,104,31,4,7,3,19,0,0,8,7,8,0,10,7,0,0,0,0,0,4,5,0,14.8402,0.2875,0.3644,0.4597,0.8241,10.2639,7.2567,1.2421,4.0533,0.0000,0.0000,0.2593,0.4211,2.9630,0.0000,0.0000,0.0000,5.0339,89.0000,0.0000,1.5908,0.4504,1.7903,0.3262
47,2019,150,1,1,550,144,598,214,144,129,73,39,66,61,144,134,2342,1,24,24,10,10,0,109,17,3,4,1,17,0,0,0,2,2,0,21,14,0,0,0,1,1,6,2,0,11.5358,0.2618,0.3109,0.3891,0.7000,8.9792,8.0439,1.0600,2.4319,0.0417,0.0000,0.5833,0.5000,3.0417,0.0000,0.0000,0.0000,3.8037,97.5833,0.0000,1.2679,0.5180,3.3077,0.3113
48,2019,150,1,1,574,142,623,260,162,142,84,41,83,80,127,146,2271,2,25,25,10,9,0,109,28,1,6,5,20,0,0,1,4,1,0,7,12,0,0,0,1,0,10,4,0,12.8692,0.2822,0.3280,0.4530,0.7809,10.2196,8.9579,1.2617,2.5864,0.0400,0.0000,0.4800,0.5263,3.3600,0.0000,0.0000,0.0000,5.0467,90.8400,0.0000,1.4229,0.4652,3.4634,0.3397
49,2019,150,1,1,653,171,707,246,156,157,96,42,66,62,175,167,2545,2,25,25,10,8,0,100,37,2,5,4,15,0,0,1,6,5,0,10,16,0,0,0,4,1,7,2,0,10.6427,0.2389,0.2879,0.3767,0.6647,8.1786,8.2311,0.7864,2.2019,0.1600,0.0000,0.6400,0.5556,3.8400,0.0000,0.0000,0.0000,3.2505,101.8000,0.0000,1.1534,0.5117,3.7381,0.2901
50,2019,150,1,1,595,143,661,296,180,126,77,51,120,110,142,149,2490,0,29,29,7,15,0,116,36,1,8,4,24,1,0,0,6,6,0,8,6,0,0,0,0,0,16,3,0,14.9161,0.3025,0.3591,0.4975,0.8566,11.3287,7.9301,1.5105,3.2098,0.0000,0.0000,0.2069,0.3182,2.6552,0.0000,0.0000,0.0000,6.9231,85.8621,0.0000,1.6154,0.4880,2.4706,0.3444
51,2019,150,1,1,637,159,714,288,177,148,93,56,91,82,168,151,2572,2,26,26,6,12,0,111,42,11,3,3,21,0,0,1,5,7,0,6,13,0,0,0,0,0,11,4,0,13.5282,0.2779,0.3414,0.4521,0.7935,9.9770,8.3424,1.1837,3.1566,0.0000,0.0000,0.5000,0.3333,3.5769,0.0000,0.0000,0.0000,4.6221,98.9231,0.0000,1.4593,0.5266,2.6429,0.3312
52,2019,150,1,1,605,154,660,251,169,131,75,42,85,79,156,154,2445,0,25,25,8,11,0,119,33,4,5,2,15,1,0,0,2,4,0,13,12,0,0,0,1,0,4,1,0,12.5649,0.2793,0.3277,0.4149,0.7426,9.8766,7.6558,0.8766,2.4545,0.0400,0.0000,0.4800,0.4211,3.0000,0.0000,0.0000,0.0000,4.6169,97.8000,0.0000,1.3701,0.5032,3.1190,0.3319
53,2019,150,1,1,450,116,508,188,120,95,45,38,75,70,143,99,1866,1,26,26,3,9,0,80,25,8,4,2,13,2,0,0,5,8,0,9,9,0,0,0,0,0,3,1,0,12.8424,0.2667,0.3320,0.4178,0.7498,9.2837,7.3496,1.0057,2.9398,0.0000,0.0000,0.3462,0.2500,1.7308,0.0000,0.0000,0.0000,5.4155,71.7692,0.0000,1.3582,0.5909,2.5000,0.3092
