league_id,sub_league_id,year,best_hitter_id,best_pitcher_id,best_rookie_id,best_manager_id,best_fielder_id0,best_fielder_id1,best_fielder_id2,best_fielder_id3,best_fielder_id4,best_fielder_id5,best_fielder_id6,best_fielder_id7,best_fielder_id8,best_fielder_id9
150,0,1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,1872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,1872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,1874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,1874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,1876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,1876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,1877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,1877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,1878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,1878,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,1879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,1879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,1881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,1881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,1882,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,1882,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,1884,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,1884,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,1885,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,1885,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,1886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,1886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,1889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,1889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,1891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
