date,summary,message_id,team_id_0,player_id_0_0,draft_round_0_0,draft_team_0_0,player_id_0_1,draft_round_0_1,draft_team_0_1,player_id_0_2,draft_round_0_2,draft_team_0_2,player_id_0_3,draft_round_0_3,draft_team_0_3,player_id_0_4,draft_round_0_4,draft_team_0_4,cash_0,team_id_1,player_id_1_0,draft_round_1_0,draft_team_1_0,player_id_1_1,draft_round_1_1,draft_team_1_1,player_id_1_2,draft_round_1_2,draft_team_1_2,player_id_1_3,draft_round_1_3,draft_team_1_3,player_id_1_4,draft_round_1_4,draft_team_1_4,cash_1
"2019-3-21","The <Oakland Athletics:team#50> trade 35-year-old first baseman <Kendrys Morales:player#18650> to the <New York Mets:team#49> for 30-year-old center fielder <Juan Lagares:player#28493>.",6,50,18650,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,49,28493,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
"2019-4-11","The <Philadelphia Phillies:team#51> trade 27-year-old catcher <Andrew Knapp:player#34342> to the <Boston Red Sox:team#34> for 30-year-old  minor league reliever <Marcus Walden:player#29905>.",83,51,34342,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0,34,29905,0,'',0,0,'',0,0,'',0,0,'',0,0,'',0
