year,team_id,game_id,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,ir,irs,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,irsp,gfp,era,pig,ws,whip,gbfbp,kbb,babip,wpa,ra9war
0,0,0,0,0,0,10636,2545,10888,3052,3001,430,0,252,1852,798,0,0,0,0,576,0,0,0,2,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,261,13,0,0,0,11.5037,0.2822,0.2988,0.2869,0.5857,10.6126,1.5206,0.0601,0.8912,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.8220,0.0000,0.0000,1.2782,0.0000,1.7063,0.2929,0.0000,''
0,0,0,0,0,0,12925,3062,13145,3826,3739,355,0,220,2235,1022,0,0,0,0,672,0,0,0,4,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,304,17,0,0,0,11.6365,0.2893,0.3012,0.2960,0.5972,10.9899,1.0434,0.0852,0.6466,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.0039,0.0000,0.0000,1.2929,0.0000,1.6136,0.2958,0.0000,''
0,0,0,0,0,0,10688,2544,10939,3113,3056,485,0,251,1905,825,0,0,0,0,576,0,0,0,2,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,253,12,0,0,0,11.6993,0.2859,0.3023,0.2913,0.5936,10.8113,1.7158,0.0672,0.8880,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.9186,0.0000,0.0000,1.2999,0.0000,1.9323,0.2982,0.0000,''
0,0,0,0,0,0,14378,3497,14660,3974,3887,746,0,282,2163,922,0,0,0,0,672,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,376,24,0,0,0,10.7295,0.2703,0.2844,0.2764,0.5608,10.0037,1.9199,0.0746,0.7258,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3729,0.0000,0.0000,1.1922,0.0000,2.6454,0.2836,0.0000,''
0,0,0,0,0,0,13863,3346,14224,3888,3825,803,0,361,2211,1023,0,0,0,0,576,0,0,0,2,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,341,23,0,0,0,11.2594,0.2759,0.2943,0.2805,0.5748,10.2884,2.1599,0.0565,0.9710,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.7516,0.0000,0.0000,1.2510,0.0000,2.2244,0.2917,0.0000,''
0,0,0,0,0,0,17639,4310,17960,4856,4709,1231,0,321,2688,1205,0,0,0,0,672,0,0,0,2,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,457,26,0,0,0,10.5035,0.2670,0.2801,0.2753,0.5554,9.8332,2.5705,0.1023,0.6703,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.5162,0.0000,0.0000,1.1671,0.0000,3.8349,0.2849,0.0000,''
0,0,0,0,0,0,14113,3468,14541,3778,3709,927,0,428,2103,999,0,0,0,0,576,0,0,0,8,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,339,20,0,0,0,10.7362,0.2628,0.2845,0.2677,0.5522,9.6254,2.4057,0.0597,1.1107,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.5926,0.0000,0.0000,1.1929,0.0000,2.1659,0.2800,0.0000,''
0,0,0,0,0,0,17860,4420,18346,4753,4600,1257,0,486,2578,1212,0,0,0,0,672,0,0,0,6,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,457,36,0,0,0,10.3561,0.2576,0.2772,0.2661,0.5434,9.3665,2.5595,0.1038,0.9896,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.4679,0.0000,0.0000,1.1507,0.0000,2.5864,0.2748,0.0000,''
0,0,0,0,0,0,16718,4062,17377,4655,4532,1054,0,659,2597,1312,0,0,0,0,576,0,0,0,5,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,422,25,0,0,0,11.5015,0.2711,0.2987,0.2784,0.5772,10.0414,2.3353,0.0908,1.4601,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,2.9069,0.0000,0.0000,1.2779,0.0000,1.5994,0.2875,0.0000,''
0,0,0,0,0,0,17991,4382,18614,5016,4845,1129,0,623,2703,1312,0,0,0,0,672,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,463,34,0,0,0,11.2305,0.2693,0.2938,0.2788,0.5726,9.9509,2.3188,0.1171,1.2796,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.6947,0.0000,0.0000,1.2478,0.0000,1.8122,0.2849,0.0000,''
