team_id,year,league_id,level_id,split_id,position,g,gs,tc,a,po,e,dp,tp,pb,sba,rto,er,ip,ipf,pct,range,rtop,cera
170,2019,151,2,0,0,21,210,787,209,565,13,13,0,1,13,6,0,1695,0,0.9835,4.1097,0.4615,0.0000
171,2019,152,2,0,0,23,230,806,198,597,11,14,0,0,14,4,0,1791,0,0.9864,3.9950,0.2857,0.0000
172,2019,152,2,0,0,23,230,862,225,627,10,17,0,4,20,6,0,1881,0,0.9884,4.0766,0.3000,0.0000
173,2019,152,2,0,0,23,230,866,238,612,16,25,0,5,18,6,0,1836,0,0.9815,4.1667,0.3333,0.0000
174,2019,152,2,0,0,23,230,840,202,621,17,16,0,0,24,5,0,1863,0,0.9798,3.9758,0.2083,0.0000
175,2019,152,2,0,0,23,230,873,232,625,16,14,0,4,15,5,0,1875,0,0.9817,4.1136,0.3333,0.0000
176,2019,151,2,0,0,22,220,779,183,583,13,17,0,2,14,1,0,1749,0,0.9833,3.9417,0.0714,0.0000
177,2019,152,2,0,0,23,230,837,201,621,15,23,0,1,23,5,0,1863,0,0.9821,3.9710,0.2174,0.0000
178,2019,152,2,0,0,23,230,831,200,613,18,15,0,3,18,5,0,1839,0,0.9783,3.9788,0.2778,0.0000
179,2019,152,2,0,0,23,230,846,216,618,12,16,0,9,18,5,0,1854,0,0.9858,4.0485,0.2778,0.0000
180,2019,152,2,0,0,23,230,844,202,621,21,15,0,8,22,5,0,1863,0,0.9751,3.9758,0.2273,0.0000
181,2019,152,2,0,0,23,230,814,186,611,17,8,0,1,19,3,0,1833,0,0.9791,3.9133,0.1579,0.0000
182,2019,152,2,0,0,23,230,870,220,633,17,18,0,0,23,7,0,1899,0,0.9805,4.0427,0.3043,0.0000
183,2019,152,2,0,0,23,230,861,228,624,9,16,0,2,18,6,0,1872,0,0.9895,4.0962,0.3333,0.0000
184,2019,152,2,0,0,23,230,850,217,619,14,22,0,4,13,2,0,1857,0,0.9835,4.0517,0.1538,0.0000
185,2019,152,2,0,0,23,230,847,198,638,11,11,0,2,19,4,0,1914,0,0.9870,3.9310,0.2105,0.0000
186,2019,152,2,0,0,23,230,861,224,623,14,13,0,0,22,5,0,1869,0,0.9837,4.0787,0.2273,0.0000
187,2019,153,3,0,0,23,230,825,209,609,7,13,0,1,14,8,0,1827,0,0.9915,4.0296,0.5714,0.0000
188,2019,153,3,0,0,23,230,852,232,606,14,24,0,3,18,7,0,1818,0,0.9836,4.1485,0.3889,0.0000
189,2019,153,3,0,0,23,230,848,220,617,11,18,0,0,25,11,0,1851,0,0.9870,4.0697,0.4400,0.0000
190,2019,153,3,0,0,21,210,784,189,579,16,24,0,6,17,3,0,1737,0,0.9796,3.9793,0.1765,0.0000
191,2019,153,3,0,0,22,220,826,233,582,11,23,0,1,23,5,0,1746,0,0.9867,4.2010,0.2174,0.0000
192,2019,153,3,0,0,19,190,699,180,511,8,16,0,1,11,3,0,1533,0,0.9886,4.0568,0.2727,0.0000
193,2019,153,3,0,0,22,220,832,220,598,14,19,0,1,13,1,0,1794,0,0.9832,4.1037,0.0769,0.0000
194,2019,153,3,0,0,22,220,852,211,629,12,19,0,0,11,4,0,1887,0,0.9859,4.0064,0.3636,0.0000
195,2019,153,3,0,0,22,220,827,215,600,12,17,0,1,22,5,0,1800,0,0.9855,4.0750,0.2273,0.0000
196,2019,153,3,0,0,20,200,722,179,535,8,13,0,1,11,3,0,1605,0,0.9889,4.0037,0.2727,0.0000
197,2019,153,3,0,0,23,230,889,216,662,11,15,0,2,23,4,0,1986,0,0.9876,3.9789,0.1739,0.0000
198,2019,153,3,0,0,22,220,817,205,598,14,18,0,0,19,4,0,1794,0,0.9829,4.0284,0.2105,0.0000
199,2019,154,3,0,0,21,210,741,190,541,10,17,0,5,19,2,0,1623,0,0.9865,4.0536,0.1053,0.0000
200,2019,154,3,0,0,21,210,760,201,547,12,15,0,4,11,2,0,1641,0,0.9842,4.1024,0.1818,0.0000
201,2019,154,3,0,0,21,210,739,171,555,13,18,0,0,14,4,0,1665,0,0.9824,3.9243,0.2857,0.0000
202,2019,154,3,0,0,21,210,836,224,604,8,19,0,0,19,6,0,1815,0,0.9904,4.1058,0.3158,0.0000
203,2019,154,3,0,0,21,210,782,198,577,7,16,0,3,14,2,0,1731,0,0.9910,4.0295,0.1429,0.0000
204,2019,154,3,0,0,21,210,748,198,536,14,17,0,3,15,5,0,1608,0,0.9813,4.1082,0.3333,0.0000
205,2019,154,3,0,0,21,210,770,195,565,10,22,0,0,17,4,0,1695,0,0.9870,4.0354,0.2353,0.0000
206,2019,154,3,0,0,20,200,731,182,540,9,12,0,0,20,8,0,1620,0,0.9877,4.0111,0.4000,0.0000
207,2019,154,3,0,0,20,200,746,185,543,18,17,0,6,18,7,0,1629,0,0.9759,4.0221,0.3889,0.0000
208,2019,154,3,0,0,21,210,738,177,548,13,14,0,2,11,8,0,1644,0,0.9824,3.9690,0.7273,0.0000
