league_id,sub_league_id,division_id,team_id
150,0,0,33
150,0,0,34
150,0,0,48
150,0,0,57
150,0,0,59
150,0,1,35
150,0,1,38
150,0,1,40
150,0,1,43
150,0,1,47
150,0,2,44
150,0,2,50
150,0,2,54
150,0,2,58
150,0,2,42
150,1,0,32
150,1,0,41
150,1,0,49
150,1,0,51
150,1,0,60
150,1,1,36
150,1,1,37
150,1,1,46
150,1,1,52
150,1,1,56
150,1,2,31
150,1,2,39
150,1,2,45
150,1,2,53
150,1,2,55
151,0,0,158
151,0,0,159
151,0,0,160
151,0,0,161
151,0,0,176
151,0,0,167
151,0,1,163
151,0,1,164
151,0,1,165
151,0,1,166
151,0,2,168
151,0,2,169
151,0,2,170
151,0,2,157
152,0,0,171
152,0,0,174
152,0,0,179
152,0,0,177
152,0,1,175
152,0,1,178
152,0,1,172
152,0,1,173
152,1,0,182
152,1,0,183
152,1,0,186
152,1,0,185
152,1,1,162
152,1,1,184
152,1,1,180
152,1,1,181
153,0,0,187
153,0,0,188
153,0,0,189
153,0,0,191
153,0,0,192
153,0,0,198
153,0,1,193
153,0,1,194
153,0,1,195
153,0,1,196
153,0,1,197
153,0,1,190
154,0,0,202
154,0,0,203
154,0,0,208
154,0,0,207
154,0,0,204
154,0,1,205
154,0,1,206
154,0,1,199
154,0,1,200
154,0,1,201
155,0,0,209
155,0,0,210
155,0,0,211
155,0,0,212
155,0,1,213
155,0,1,214
155,0,1,215
155,0,1,216
156,0,0,218
156,0,0,219
156,0,0,220
156,0,0,221
156,0,1,223
156,0,1,224
156,0,1,226
156,0,1,233
157,0,0,227
157,0,0,229
157,0,0,230
157,0,0,245
157,0,0,225
157,0,1,231
157,0,1,232
157,0,1,234
157,0,1,756
157,0,1,758
158,0,0,236
158,0,0,241
158,0,0,242
158,0,0,244
158,0,0,246
158,0,0,757
158,0,1,243
158,0,1,240
158,0,1,237
158,0,1,238
158,0,1,239
158,0,1,228
159,0,0,247
159,0,0,248
159,0,0,249
159,0,0,250
159,0,0,251
159,0,0,252
159,0,0,273
159,0,0,264
159,0,1,253
159,0,1,254
159,0,1,255
159,0,1,257
159,0,1,258
159,0,1,259
159,0,1,260
159,0,1,267
160,0,0,261
160,0,0,262
160,0,0,263
160,0,0,265
160,0,0,268
160,0,0,256
160,0,0,274
160,0,1,269
160,0,1,270
160,0,1,271
160,0,1,272
160,0,1,275
160,0,1,276
160,0,1,266
161,0,0,277
161,0,0,278
161,0,0,279
161,0,0,280
161,0,1,281
161,0,1,282
161,0,1,283
161,0,1,284
161,0,1,285
161,0,1,286
161,0,2,287
161,0,2,288
161,0,2,289
161,0,2,290
162,0,0,292
162,0,0,293
162,0,0,298
162,0,0,296
162,0,1,297
162,0,1,291
162,0,1,295
162,0,1,294
163,0,0,299
163,0,0,300
163,0,0,301
163,0,0,302
163,0,0,303
163,0,1,304
163,0,1,305
163,0,1,306
163,0,1,307
163,0,1,308
164,0,0,312
164,0,0,313
164,0,0,315
164,0,0,316
164,0,0,405
164,0,0,797
164,0,0,815
164,0,1,309
164,0,1,327
164,0,1,329
164,0,1,651
164,0,1,796
164,0,1,809
164,0,1,814
164,0,2,310
164,0,2,314
164,0,2,361
164,0,2,736
164,0,2,785
164,0,2,317
164,0,2,816
165,0,0,324
165,0,0,745
165,0,0,798
165,0,0,408
165,0,0,328
165,0,1,325
165,0,1,322
165,0,1,326
165,0,1,323
165,0,2,406
165,0,2,320
165,0,2,319
165,0,2,318
165,0,2,403
165,0,3,330
165,0,3,331
165,0,3,404
165,0,3,332
166,0,0,333
166,0,0,334
166,0,0,335
166,0,0,336
166,0,1,337
166,0,1,338
166,0,1,339
166,0,1,340
177,0,0,594
177,0,0,598
177,0,0,593
177,0,0,608
177,0,0,600
177,0,0,617
177,0,0,795
177,0,1,585
177,0,1,611
177,0,1,609
177,0,1,599
177,0,1,602
177,0,1,592
177,0,1,794
177,0,1,813
177,0,2,586
177,0,2,588
177,0,2,597
177,0,2,603
177,0,2,595
177,0,2,584
177,0,2,751
177,0,2,606
177,0,2,812
177,0,3,591
177,0,3,590
177,0,3,604
177,0,3,589
177,0,3,753
177,0,3,742
177,0,4,616
177,0,4,619
177,0,4,620
177,0,4,601
177,0,4,596
177,0,4,607
177,0,4,605
177,0,5,587
177,0,5,613
177,0,5,754
177,0,5,755
177,0,5,792
177,0,5,793
